Report for not matched invoices of My Robo Vault
Generated at: 03 December 10:08:40

,Bank Statement Lines,,,,Transactions,,,,

Transaction No,Description Name,Ref,Spent,Received, ,Matched Contact,Ref,Spent,Received
1,ACB CREDIT PAYACCSYS BOOMERA...,,-,649.00 ,,Boomerang Fruits,Ref: INV-41204,-,649.00
2,ACB CREDIT MOYA MEAKER WINE ...,,-,451.95 ,,Moya Meaker Wine Cellar,Ref: INV-41141,-,451.95
3,ACB CREDIT DAND PLANTD&D PLA...,,-,564.00 ,,D & D Plant Maintenance BK,Ref: INV-41222,-,564.00
4,ACB CREDIT BABYLONS TOWER CC,,-,451.95 ,,Babylon Tower cc t/a Nidderdale Farm,Ref: INV-41193,-,451.95
5,ACB CREDIT BASSON & SEUN,,-,290.00 ,,Basson en Seun Vervoer,Ref: INV-41218,-,290.00
6,ACB CREDIT MJ HAUPTFLEISCH,,-,290.00 ,,MJ Hauptfleisch,Ref: INV-41197,-,290.00
7,IBANK PAYMENT FROM ABSA BANK...,,-,1.125.85 ,,Haasjeskop Boerdery,Ref: INV-41159,-,1.125.85
8,ACB CREDIT SUNBLINDS,,-,290.00 ,,sunblinds,Ref: INV-41199,-,290.00
9,ACB CREDIT MADRON PROPERTIES,,-,301.30 ,,Madron Properties,Ref: INV-41157,-,301.30
10,ACB CREDIT TACHODATA,,-,290.00 ,,TachoData,Ref: INV-41210,-,290.00
11,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Steam Trap Evaluation and Monitoring Solutions (Pty) Ltd,Ref: INV-41273,-,451.95
12,IBANK PAYMENT FROM ABSA BANK...,,-,70.00 ,,Blouvlei Accomodation,Ref: INV-41332,-,70.00
13,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Skilpadvlei,Ref: INV-41258,-,451.95
14,CREDIT TRANSFER CASHFOCU...,,-,391.00 ,,Welgemeen Boerdery,Ref: INV-41245,-,391.00
15,IBANK PAYMENT FROM ABSA BANK...,,-,69.00 ,,Chrislou Trust,Ref: INV-41246,-,69.00
16,ACB CREDIT Caledon Hatchery,,-,451.95 ,,Caledon Hatchery (Pty) Ltd,Ref: INV-41274,-,451.95
17,ACB CREDIT TWK Chicks,,-,451.95 ,,TWK Chicks (Pty) Ltd,Ref: INV-41285,-,451.95
18,ACB CREDIT 41219TRANSFINDTTR...,,-,290.00 ,,Transfin - DT Trust t/a Bo Uitkyk,Ref: INV-41219,-,290.00
19,ACB CREDIT GESTRASA PTY LTD,,-,451.95 ,,Gestrasa (Pty) Ltd,Ref: INV-41291,-,451.95
20,ACB CREDIT KAROOVLAKTE INV40...,,-,171.21 ,,Karoovlakte,Ref: INV-41272,-,171.21
21,ACB CREDIT OABS,,-,1.807.80 ,,Mosh Petroleum,Ref: INV-40818,-,1.807.80
22,IBANK PAYMENT FROM ABSA BANK...,,-,207.00 ,,Mosh Petroleum,Ref: INV-41231,-,207.00
23,ACB CREDIT DE RUST,,-,673.90 ,,De Rust Estate,Ref: INV-41304,-,673.90
24,ACB CREDIT OPEN HOME,,-,565.00 ,,Open Home,Ref: INV-41213,-,565.00
25,ACB CREDIT INVESTECPBCLI-008...,,-,451.95 ,,Ark Tree Group (Pty) Ltd,Ref: INV-41249,-,451.95
26,ACB CREDIT GLUEDATA,,-,600.00 ,,Glue Data Services ( Pty) Ltd,Ref: INV-41294,-,600.00
27,ACB CREDIT PRO CARE,,-,1.912.45 ,,Pro Care Cleaning and Workplace Services,Ref: INV-41265,-,1.912.45
28,ACB CREDIT IEIM,,-,707.00 ,,Inspired Evolution Investment Management (Pty) Ltd,Ref: INV-41215,-,707.00
29,ACB CREDIT INDUSTRIAL CARTID...,,-,299.00 ,,Industrial Cartridge (Pty) Ltd,Ref: INV-41240,-,299.00
30,ACB CREDIT INV-41005,,-,451.95 ,,Jonet Baphalane Cleaning and Hygiene,Ref: INV-41005,-,451.95
31,ACB CREDIT MADRON FARMING,,-,451.95 ,,Madron Farming,Ref: INV-41269,-,451.95
32,ACB CREDIT MADRON PROPERTIES,,-,301.30 ,,Madron Properties,Ref: INV-41292,-,301.30
33,ACB CREDIT BDKSOFT/SOL/WFG41...,,-,290.00 ,,Wellington Fruit Growers,Ref: INV-41209,-,290.00
34,ACB CREDIT LION AUTOMATION I...,,-,290.00 ,,Lion Automation & Welding,Ref: INV-41336,-,290.00
35,ACB CREDIT GIFLO INV41232,,-,3.516.70 ,,Giflo Properties (Pty) Ltd,Ref: INV-41232,-,3.516.70
36,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Klipdale Boerdery,Ref: INV-41263,-,451.95
37,ACB CREDIT INV-41307 HIK ABA...,,-,1.273.90 ,,HIK Abalone Farm (Pty) Ltd,Ref: INV-41307,-,1.273.90
38,ACB CREDIT PRINGLE INVESTMEN...,,-,451.95 ,,Pringle Investment Trust (Pty) Ltd,Ref: INV-41254,-,451.95
39,ACB CREDIT Southend Farms,,-,451.95 ,,Southend Farms (Pty) Ltd,Ref: INV-41271,-,451.95
40,ACB CREDIT DANCKWERTS FRUIT ...,,-,301.30 ,,Danckwerts Fruit Farms (Pty) ltd,Ref: INV-41281,-,301.30
41,ACB CREDIT H AND S FLIGHT,,-,301.30 ,,H and S Flights (Pty) Ltd,Ref: INV-41293,-,301.30
42,ACB CREDIT KLEINE HEIDEPAN P...,,-,451.95 ,,Kleine Heidepan Plase,Ref: INV-41312,-,451.95
43,ACB CREDIT ITAKANE TRADING 5...,,-,451.95 ,,Itakane Trading 57 (Pty) Ltd,Ref: INV-41255,-,451.95
44,ACB CREDIT WEMA FOODS,,-,451.95 ,,Wema Foods (Pty) Ltd,Ref: INV-41260,-,451.95
45,ACB CREDIT TANGENI MESHED GR...,,-,451.95 ,,TANGENI CATTLE COMPANY PTY LTD,Ref: INV-41355,-,451.95
46,ACB CREDIT INV-41257 / AGRIS...,,-,451.95 ,,Agrisouth Orchards (SA) (Pty) Ltd,Ref: INV-41257,-,451.95
47,ACB DEBIT:EXTERNAL ...,,12.790.00 ,-,,Sage Accounting Licenses,Ref: INV3596119,12.790.00,-
48,IBANK PAYMENT FROM ABSA BANK...,,-,46.00 ,,Oewerzicht Farm Cottages,Ref: INV-41248,-,46.00
49,IBANK PAYMENT FROM ABSA BANK...,,-,138.00 ,,Oewerzicht Boerdery,Ref: INV-41247,-,138.00
50,ACB CREDIT CLI-0081,,-,451.95 ,,Executive Panelbeaters,Ref: INV-41250,-,451.95
51,ACB CREDIT CLI_0072 INV-41253,,-,451.95 ,,Innovative Ad media (Pty) Ltd,Ref: INV-41253,-,451.95
52,ACB CREDIT SCHULTZ VPM (PTY)...,,-,1.013.45 ,,Schultz VPM (Pty) Ltd,Ref: INV-41314,-,1.013.45
53,ACB CREDIT Waitrose Foundati...,,-,451.95 ,,The Waitrose Foundation NPC,Ref: INV-41311,-,451.95
54,ACB CREDIT ACMS 41238,,-,414.00 ,,Aquaculture Consulting & Management Services (PTY) LTD,Ref: INV-41238,-,414.00
55,IBANK PAYMENT FROM ABSA BANK...,,-,415.00 ,,Dr JP Duvenage Praktyk,Ref: INV-41341,-,415.00
56,ACB CREDIT INV 41339,,-,290.00 ,,Tag Flora,Ref: INV-41339,-,290.00
57,IBANK PAYMENT FROM ABSA BANK...,,-,171.21 ,,Angel Christian Television Trust,Ref: INV-41301,-,171.21
58,ACB CREDIT BRONAAR PLASE,,-,1.125.85 ,,Bronaar,Ref: INV-41308,-,1.125.85
59,ACB CREDIT PATRYSKOP BOERDER...,,-,290.00 ,,Patryskop Boerdery,Ref: INV-41333,-,290.00
60,ACB CREDIT P REUVERS PLASE,,-,387.00 ,,P reuvers Plase,Ref: INV-41331,-,387.00
61,ACB CREDIT INVESTECPBCLI-008...,,-,451.95 ,,Ark Tree Group (Pty) Ltd,Ref: INV-40992,-,451.95
62,ACB CREDIT TANGENI TANGENI C...,,-,937.00 ,,TANGENI CATTLE COMPANY PTY LTD,Ref: INV-41319,-,937.00
63,IBANK PAYMENT FROM ABSA BANK...,,-,1.125.85 ,,Thornlands Boerdery (Edms) Bpk,Ref: INV-41305,-,1.125.85
64,ACB CREDIT ANGEL TV AFRICA,,-,451.95 ,,Angel Television Africa,Ref: INV-41287,-,451.95
65,ACB CREDIT ACMS 41327,,-,418.00 ,,Aquaculture Consulting & Management Services (PTY) LTD,Ref: INV-41327,-,418.00
66,ACB CREDIT PMT PROJECT ASSIG...,,-,594.00 ,,Project Assignments (SA) (Pty) Ltd,Ref: INV-41342,-,594.00
67,ACB CREDIT Koppies Hoogte Bo...,,-,1.125.85 ,,Koppies Hoogte Boerdery BK,Ref: INV-41349,-,1.125.85
68,ACB CREDIT INV 40434,,-,451.95 ,,Babylon Tower cc t/a Nidderdale Farm,Ref: INV-41313,-,451.95
69,ACB CREDIT CAPITEC FJP LOTTE...,,-,451.95 ,,FJP Lotter TA Karwyderskraal,Ref: INV-41295,-,451.95
