Report for not matched invoices of Demo Company (Global)
Generated at: 03 December 14:39:01
Transaction No,Date,Description Name,Spent,Received
1,3 Sep 2021,Office Supplies Company,23.50 ,-
2,12 Sep 2021,Brunswick Flower Suppliers T/A Brunswick Petals,50.00 ,-
3,9 Oct 2021,DIISR,-,568.31 
4,9 Oct 2021,Gable Print,29.50 ,-
5,10 Oct 2021,Melrose Parking,148.50 ,-
6,18 Oct 2021,24 Locks Limited,69.50 ,-
7,29 Oct 2021,City Limousines,-,100.00 
8,30 Oct 2021,Jakaranda Maple Systems,-,2.000.00 
9,3 Nov 2021,Cooper St Bakery,15.75 ,-
10,3 Nov 2021,Swanston Security,59.55 ,-
11,4 Nov 2021,e-Bank dep,-,1.000.00 
12,4 Nov 2021,Cooper St Bakery,11.90 ,-
13,6 Nov 2021,e-Bank dep,-,1.500.00 
14,6 Nov 2021,New World,34.60 ,-
15,7 Nov 2021,Majestic Contracting,-,450.00 
16,7 Nov 2021,Parkside Kiosk,14.30 ,-
17,8 Nov 2021,Parkside Kiosk,10.50 ,-
18,8 Nov 2021,Ridgeway Bank,15.00 ,-
19,8 Nov 2021,e-Cash dep,-,200.00 
